MIDPEL_1,MIDPEL_2,MIDPEL_3,LFEP_1,LFEP_2,LFEP_3,RFEP_1,RFEP_2,RFEP_3,LFEO_1,LFEO_2,LFEO_3,RFEO_1,RFEO_2,RFEO_3,LTIO_1,LTIO_2,LTIO_3,RTIO_1,RTIO_2,RTIO_3,qRPV_1,qRPV_2,qRPV_3,qRPV_4,qLTH_1,qLTH_2,qLTH_3,qLTH_4,qRTH_1,qRTH_2,qRTH_3,qRTH_4,qLSK_1,qLSK_2,qLSK_3,qLSK_4,qRSK_1,qRSK_2,qRSK_3,qRSK_4
0.033,0,1,0.033,0.2,1,0.033,-0.2,1,0.198494864868923,0.2,0.528182821739165,0.504817178260835,-0.2,0.834505135131077,0.198494864868923,0.2,0.0281828217391645,0.504817178260835,-0.2,0.334505135131077,1,0,0,0,0.815778686206573,0,-0.578364189011627,0,0.815778686206573,0,-0.578364189011627,0,1,0,0,0,1,0,0,0
0.034,0,1,0.034,0.2,1,0.034,-0.2,1,0.204459594394738,0.2,0.52995369730336,0.50404630269664,-0.2,0.829540405605261,0.204459594394738,0.2,0.0299536973033601,0.50404630269664,-0.2,0.329540405605261,1,0,0,0,0.818815971018359,0,-0.574056099702165,0,0.818815971018359,0,-0.574056099702165,0,1,0,0,0,1,0,0,0
0.035,0,1,0.035,0.2,1,0.035,-0.2,1,0.2104053793552,0.2,0.531776812947865,0.503223187052135,-0.2,0.824594620644799,0.2104053793552,0.2,0.0317768129478655,0.503223187052135,-0.2,0.324594620644799,1,0,0,0,0.821830505247402,0,-0.569732060397517,0,0.821830505247402,0,-0.569732060397517,0,1,0,0,0,1,0,0,0
0.036,0,1,0.036,0.2,1,0.036,-0.2,1,0.216331670084878,0.2,0.533651966054966,0.502348033945034,-0.2,0.819668329915122,0.216331670084878,0.2,0.0336519660549657,0.502348033945034,-0.2,0.319668329915122,1,0,0,0,0.824822205135675,0,-0.565392191239959,0,0.824822205135675,0,-0.565392191239959,0,1,0,0,0,1,0,0,0
0.037,0,1,0.037,0.2,1,0.037,-0.2,1,0.222237919084892,0.2,0.535578948223599,0.501421051776401,-0.2,0.814762080915108,0.222237919084892,0.2,0.0355789482235986,0.501421051776401,-0.2,0.314762080915108,1,0,0,0,0.827790987559596,0,-0.561036612811595,0,0.827790987559596,0,-0.561036612811595,0,1,0,0,0,1,0,0,0
0.038,0,1,0.038,0.2,1,0.038,-0.2,1,0.228123581083767,0.2,0.537557545292515,0.500442454707485,-0.2,0.809876418916233,0.228123581083767,0.2,0.037557545292515,0.500442454707485,-0.2,0.309876418916233,1,0,0,0,0.830736770032341,0,-0.556665446131007,0,0.830736770032341,0,-0.556665446131007,0,1,0,0,0,1,0,0,0
0.039,0,1,0.039,0.2,1,0.039,-0.2,1,0.233988113098026,0.2,0.539587537364081,0.499412462635919,-0.2,0.805011886901974,0.233988113098026,0.2,0.039587537364081,0.499412462635919,-0.2,0.305011886901974,1,0,0,0,0.833659470706131,0,-0.552278812649892,0,0.833659470706131,0,-0.552278812649892,0,1,0,0,0,1,0,0,0
0.04,0,1,0.04,0.2,1,0.04,-0.2,1,0.239830974492541,0.2,0.541668698828717,0.498331301171283,-0.2,0.800169025507459,0.239830974492541,0.2,0.0416686988287169,0.498331301171283,-0.2,0.300169025507459,1,0,0,0,0.836559008374509,0,-0.547876834249687,0,0.836559008374509,0,-0.547876834249687,0,1,0,0,0,1,0,0,0
0.041,0,1,0.041,0.2,1,0.041,-0.2,1,0.245651627040617,0.2,0.543800798389971,0.497199201610029,-0.2,0.795348372959383,0.245651627040617,0.2,0.0438007983899709,0.497199201610029,-0.2,0.295348372959383,1,0,0,0,0.839435302474597,0,-0.543459633238185,0,0.839435302474597,0,-0.543459633238185,0,1,0,0,0,1,0,0,0
0.042,0,1,0.042,0.2,1,0.042,-0.2,1,0.251449534983809,0.2,0.545983599090224,0.496016400909776,-0.2,0.790550465016191,0.251449534983809,0.2,0.0459835990902244,0.496016400909776,-0.2,0.290550465016191,1,0,0,0,0.842288273089332,0,-0.539027332346135,0,0.842288273089332,0,-0.539027332346135,0,1,0,0,0,1,0,0,0
0.043,0,1,0.043,0.2,1,0.043,-0.2,1,0.257224165091465,0.2,0.548216858337028,0.494783141662972,-0.2,0.785775834908535,0.257224165091465,0.2,0.0482168583370285,0.494783141662972,-0.2,0.285775834908535,1,0,0,0,0.84511784094969,0,-0.534580054723832,0,0.84511784094969,0,-0.534580054723832,0,1,0,0,0,1,0,0,0
