gfr_acc_MP_act_1,gfr_acc_MP_act_2,gfr_acc_MP_act_3,gfr_acc_LA_act_1,gfr_acc_LA_act_2,gfr_acc_LA_act_3,gfr_acc_RA_act_1,gfr_acc_RA_act_2,gfr_acc_RA_act_3,bIsStatMP,bIsStatLA,bIsStatRA,qPelvisEst_1,qPelvisEst_2,qPelvisEst_3,qPelvisEst_4,qLankleEst_1,qLankleEst_2,qLankleEst_3,qLankleEst_4,qRankleEst_1,qRankleEst_2,qRankleEst_3,qRankleEst_4
0,0,0,-0.109598994774646,0,0.167347879405977,-0.167347879406277,0,0.109598994774596,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.11135709617156,0,0.16618318064594,-0.16618318064594,0,0.111357096171461,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.113102821545918,0,0.165000012593208,-0.165000012593008,0,0.113102821545918,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.114835976881067,0,0.163798506742696,-0.163798506742546,0,0.114835976881267,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.22818422099158e-14,0,0,-0.116556369557204,0,0.162578796627907,-0.16257879662795,0,0.116556369557161,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.03683769639931e-15,0,0,-0.118263808373252,0,0.161341017805232,-0.161341017805287,0,0.118263808373046,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927985e-14,0,0,-0.119958103567425,0,0.160085307839003,-0.160085307838966,0,0.119958103567513,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927985e-14,0,0,-0.121639066838728,0,0.158811806286467,-0.158811806286406,0,0.121639066838791,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.123306511368343,0,0.157520654682098,-0.157520654682148,0,0.123306511368293,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927985e-14,0,0,-0.124960251839418,0,0.15621199652252,-0.156211996522631,0,0.124960251839505,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927985e-14,0,0,-0.126600104458192,0,0.154885977249614,-0.154885977249602,0,0.126600104458103,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.20736753927986e-14,0,0,-0.128225886974505,0,0.153542744234199,-0.153542744234138,0,0.128225886974517,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.20736753927986e-14,0,0,-0.129837418702088,0,0.152182446760855,-0.152182446760867,0,0.129837418702177,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
